iteration, tot.est, tot.err, it.nreg, it.est, it.err,  it.fin.est, it.fin.err, it.fin.nreg, uneval.par.est, uneval.par.err, uneval.nreg
0,1.15505016202144623e-01,1.83380924696522740e+00,1,1.15505016202144623e-01,1.83380924696522740e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
1,-1.18990498577265694e-01,4.60566391039690437e-01,2,-1.18990498577265694e-01,4.60566391039690437e-01,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
2,-5.71362564818043289e-02,1.78877439454136256e-01,4,-5.71362564818043289e-02,1.78877439454136256e-01,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
3,-2.66929274637355968e-02,7.88514099074586194e-02,8,-2.66929274637355968e-02,7.88514099074586194e-02,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
4,-8.42326452778813586e-04,2.94402793769794474e-02,16,-8.42326452778813586e-04,2.94402793769794474e-02,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
5,-2.29974426452708627e-04,2.41264038987980614e-03,32,-2.29974426452708627e-04,2.41264038987980614e-03,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
6,-1.43203134277029685e-04,1.54109032381948073e-03,64,-1.43203134277029685e-04,1.54109032381948073e-03,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
7,1.21336450340081176e-04,3.26535288465992334e-04,128,1.21336450340081176e-04,3.26535288465992334e-04,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
8,7.08775034888614082e-05,8.40683536930933228e-05,256,7.08775034888614082e-05,8.40683536930933228e-05,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
9,5.70476219680975333e-05,2.30610085823846046e-05,512,5.70476219680975333e-05,2.30610085823846046e-05,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
10,7.89342571995533152e-06,5.56463587233796503e-05,1024,7.89342571995533152e-06,5.56463587233796503e-05,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
11,4.36751895082603800e-06,7.03415918052826065e-06,2048,4.36751895082603800e-06,7.03415918052826065e-06,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
12,4.24621413777383917e-06,2.43185951734563938e-06,4096,4.24621413777383917e-06,2.43185951734563938e-06,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
13,5.85181330343850441e-07,4.22794406573930716e-06,8192,5.85181330343850441e-07,4.22794406573930716e-06,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
14,2.43294765720525557e-06,4.36014771453578058e-06,16384,2.43294765720525557e-06,4.36014771453578058e-06,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
15,2.52666776393717583e-06,2.65871632724404850e-06,32768,2.52666776393717583e-06,2.65871632724404850e-06,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
16,2.07950603234774135e-06,2.44621504269599904e-06,65536,2.07950603234774135e-06,2.44621504269599904e-06,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
17,1.86603346768982953e-06,1.77534004853893655e-06,131072,1.86603346768982953e-06,1.77534004853893655e-06,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
18,1.80317392801533662e-06,1.14602731453550725e-06,262144,1.80317392801533662e-06,1.14602731453550725e-06,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
19,1.79212135731087383e-06,3.53684507872525216e-07,524288,1.79212135731087383e-06,3.53684507872525216e-07,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
